Anti-Malware Logs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Summary,807 out of exported 807 entries are found and exported.,,,,,,,,,,,
Filter,,,,,,,,,,,,
Time,"2024-11-01 00:00:00 - 2024-12-01 23:59:59
",,,,,,,,,,,
Sort by time,Descending,,,,,,,,,,,
Endpoint,All,,,,,,,,,,,
IP Address,All,,,,,,,,,,,
Event Type,All,,,,,,,,,,,
Status,All,,,,,,,,,,,
Result,,,,,,,,,,,,
No.,Time Detected,Endpoint,IP Address,Type,Threat,Infected File,Time Created ,File MD5,Status,Time Fixed,Engine,Antivirus database version
280,2024-11-15 13:03:36,4F-PC-026,172.22.61.140,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:01,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Sangfor Cloud-Based Antivirus Engine,20241126125034
281,2024-11-15 13:02:21,2F-PC-196,172.22.59.12,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:11,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:33,Gene Analysis Engine,20241126125034
282,2024-11-15 12:56:07,4F-PC-007,172.22.61.144,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-05 10:41:46,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:20,Sangfor Cloud-Based Antivirus Engine,20241126125034
283,2024-11-15 12:56:04,hpkkplazaapp,172.22.36.12,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2024-08-16 17:18:26,65E7F6E26F792FA94E8AF5371FD6331A,Pending,2024-11-15 12:56:04,Sangfor Engine Zero,20241112101856
284,2024-11-15 12:55:06,3F-PC-118,172.22.4.102,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:54,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Gene Analysis Engine,20241126125034
285,2024-11-15 12:54:46,4F-PC-021,172.22.61.138,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:23,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:21,Gene Analysis Engine,20241126125034
286,2024-11-15 12:54:13,4F-PC-005,172.22.61.133,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:21,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:24,Gene Analysis Engine,20241126125034
287,2024-11-15 12:53:54,4F-PC-040,172.22.60.5,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:26,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Gene Analysis Engine,20241126125034
288,2024-11-15 12:53:16,2F-PC-073,172.22.57.192,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:07,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Sangfor Cloud-Based Antivirus Engine,20241126125034
289,2024-11-15 12:52:44,4F-PC-041,172.22.60.4,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:25,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:06,Sangfor Cloud-Based Antivirus Engine,20241126125034
290,2024-11-15 12:49:53,2F-PC-200,172.22.58.201,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:30,Gene Analysis Engine,20241126125034
291,2024-11-15 12:49:32,4F-PC-025,172.22.61.150,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:19,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Sangfor Cloud-Based Antivirus Engine,20241126125034
292,2024-11-15 12:46:56,4F-PC-039,172.22.61.196,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:25,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:19,Gene Analysis Engine,20241126125034
293,2024-11-15 12:46:45,2F-PC-226,172.22.58.5,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:33,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:34,Gene Analysis Engine,20241126125034
294,2024-11-15 12:46:20,1F-PC-044,172.22.53.24,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:44,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:33,Gene Analysis Engine,20241126125034
295,2024-11-15 12:44:37,2F-PC-206,172.22.59.15,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:11,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:34,Gene Analysis Engine,20241126125034
296,2024-11-15 12:43:26,1F-PC-205,172.22.54.234,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:47,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:51,Gene Analysis Engine,20241126125034
297,2024-11-15 12:41:20,2F-PC-061,172.22.35.3,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:54,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:12,Sangfor Cloud-Based Antivirus Engine,20241126125034
298,2024-11-15 12:41:11,4F-PC-008,172.22.61.194,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:08,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Gene Analysis Engine,20241126125034
299,2024-11-15 12:40:13,4F-PC-043,172.22.60.6,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 09:05:47,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:08,Gene Analysis Engine,20241126125034
300,2024-11-15 12:40:09,2F-PC-205,172.22.58.194,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:12,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-11-29 15:37:58,Gene Analysis Engine,20241126125034
301,2024-11-15 12:39:32,hpkkvia2,172.22.68.10,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:21:38,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:13,Sangfor Cloud-Based Antivirus Engine,20241126125034
302,2024-11-15 12:39:30,Buffer140,172.22.2.198,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:21:34,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:42,Sangfor Cloud-Based Antivirus Engine,20241126125034
303,2024-11-15 12:39:14,2F-PC-177,172.22.57.5,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:49:37,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:20,Sangfor Cloud-Based Antivirus Engine,20241126125034
304,2024-11-15 12:38:31,3F-PC-088,172.22.6.22,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:26,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Gene Analysis Engine,20241126125034
305,2024-11-15 12:38:01,2F-PC-049,172.22.57.133,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:53,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:14,Sangfor Cloud-Based Antivirus Engine,20241126125034
306,2024-11-15 12:37:46,2F-PC-041,172.22.57.203,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:49,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:27,Sangfor Cloud-Based Antivirus Engine,20241126125034
307,2024-11-15 12:37:26,4F-PC-012,172.22.61.142,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:21,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:30,Gene Analysis Engine,20241126125034
308,2024-11-15 12:36:20,1F-PC-207,172.22.54.233,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:48,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:29,Gene Analysis Engine,20241126125034
309,2024-11-15 12:36:13,HASIL,172.22.50.230,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:34:04,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:27,Gene Analysis Engine,20241126125034
310,2024-11-15 12:36:09,4F-PC-022,172.22.61.143,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:19,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Gene Analysis Engine,20241126125034
311,2024-11-15 12:36:00,2F-PC-088,172.22.35.18,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Sangfor Cloud-Based Antivirus Engine,20241126125034
312,2024-11-15 12:35:54,3F-PC-080,172.22.0.102,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:21,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:23,Gene Analysis Engine,20241126125034
313,2024-11-15 12:35:53,6F-PC-004,172.22.66.56,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:31,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:14,Gene Analysis Engine,20241126125034
314,2024-11-15 12:35:32,3F-PC-122,172.22.64.20,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:22:43,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:20,Gene Analysis Engine,20241126125034
315,2024-11-15 12:35:23,2F-PC-229,172.22.58.71,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:13,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:20,Gene Analysis Engine,20241126125034
316,2024-11-15 12:35:21,6F-PC-048,172.22.66.73,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-03-14 02:05:20,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:30,Gene Analysis Engine,20241126125034
317,2024-11-15 12:34:47,2F-PC-060,172.22.35.10,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:35,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:30:47,Sangfor Cloud-Based Antivirus Engine,20241126125034
318,2024-11-15 12:34:28,ECG-INT1,172.22.25.34,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:12,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Sangfor Cloud-Based Antivirus Engine,20241126125034
319,2024-11-15 12:34:10,2F-PC-165,172.22.50.241,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:10,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:28,Gene Analysis Engine,20241126125034
320,2024-11-15 12:34:03,2F-PC-111,172.22.68.121,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:52,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Sangfor Cloud-Based Antivirus Engine,20241126125034
321,2024-11-15 12:33:51,JPP-PC-ZAINI,172.22.50.198,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:49:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:19,Gene Analysis Engine,20241126125034
322,2024-11-15 12:33:45,1F-PC-196,172.22.54.247,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:20,Gene Analysis Engine,20241126125034
323,2024-11-15 12:33:29,1F-PC-063,172.22.53.8,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:42,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:15,Gene Analysis Engine,20241126125034
324,2024-11-15 12:33:27,GF-PC-081,172.22.59.209,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:55,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:53,Gene Analysis Engine,20241126125034
325,2024-11-15 12:32:55,3F-PC-093,172.22.64.27,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:59:37,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Gene Analysis Engine,20241126125034
326,2024-11-15 12:32:55,5F-PC-084,172.22.80.22,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:30,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:18,Gene Analysis Engine,20241126125034
327,2024-11-15 12:32:52,2F-PC-053,172.22.35.137,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-06 12:05:46,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:07,Sangfor Cloud-Based Antivirus Engine,20241126125034
328,2024-11-15 12:32:40,2F-PC-050,172.22.35.15,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:50,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:28,Sangfor Cloud-Based Antivirus Engine,20241126125034
329,2024-11-15 12:32:21,2F-PC-065,172.22.35.9,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:54,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:21,Sangfor Cloud-Based Antivirus Engine,20241126125034
330,2024-11-15 12:32:19,3F-PC-096,172.22.64.24,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:15,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:25,Gene Analysis Engine,20241112101856
331,2024-11-15 12:32:10,1F-PC-045,172.22.53.68,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:45,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:29,Sangfor Cloud-Based Antivirus Engine,20241126125034
332,2024-11-15 12:32:08,GF-PC-200,172.22.54.33,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2023-08-30 05:31:26,BA416C2377A8DA430F8DE7E982714899,Pending,2024-11-15 12:32:08,Sangfor Engine Zero,20241112101856
333,2024-11-15 12:31:56,BUFFER067,172.22.66.6,Others,Gen:Heur.Kelios.1,c:\users\k022669\appdata\roaming\75ain1mo.exe,2022-07-06 13:12:36,2481B1A178D02579FAE34366BF6B37B7,Pending,2024-11-15 12:31:56,Gene Analysis Engine,20241112101856
334,2024-11-15 12:31:56,BUFFER067,172.22.66.6,Others,Gen:Heur.Kelios.1,c:\users\k022669\appdata\roaming\2ozcqrix.exe,2022-07-06 13:11:31,2481B1A178D02579FAE34366BF6B37B7,Pending,2024-11-15 12:31:56,Gene Analysis Engine,20241112101856
335,2024-11-15 12:31:49,6F-PC-065,172.22.66.151,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:32,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:21,Gene Analysis Engine,20241126125034
336,2024-11-15 12:31:42,3F-PC-108,172.22.64.136,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:45,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:27,Gene Analysis Engine,20241126125034
337,2024-11-15 12:31:35,6F-PC-061,172.22.66.8,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:33,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:27,Gene Analysis Engine,20241126125034
338,2024-11-15 12:31:34,2F-PC-044,172.22.57.138,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:50,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:17,Gene Analysis Engine,20241126125034
339,2024-11-15 12:31:12,4F-PC-032,172.22.61.157,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:26,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:16,Gene Analysis Engine,20241126125034
340,2024-11-15 12:30:33,4F-NB-004,172.22.15.187,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 15:07:01,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:26,Sangfor Cloud-Based Antivirus Engine,20241126125034
341,2024-11-15 12:30:29,2F-PC-058,172.22.57.139,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:35,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:10,Sangfor Cloud-Based Antivirus Engine,20241126125034
342,2024-11-15 12:30:26,GF-PCP-012,172.22.52.94,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 15:06:57,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:13,Sangfor Cloud-Based Antivirus Engine,20241126125034
343,2024-11-15 12:30:20,2F-PC-175,172.22.55.66,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:49:36,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Sangfor Cloud-Based Antivirus Engine,20241126125034
344,2024-11-15 12:30:03,2F-PC-131,172.22.62.38,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Sangfor Cloud-Based Antivirus Engine,20241126125034
345,2024-11-15 12:29:57,GF-PC-048,172.22.52.126,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-13 17:09:06,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:10,Gene Analysis Engine,20241126125034
346,2024-11-15 12:29:51,2F-PC-146,172.22.57.3,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:11,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:23,Gene Analysis Engine,20241126125034
347,2024-11-15 12:29:35,GF-NB-002,172.22.14.88,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:21:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:29,Sangfor Cloud-Based Antivirus Engine,20241126125034
348,2024-11-15 12:29:32,2F-PC-055,172.22.35.57,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:51,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:09,Sangfor Cloud-Based Antivirus Engine,20241120110503
349,2024-11-15 12:29:25,4F-NB-008,172.22.2.197,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:23:18,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Sangfor Cloud-Based Antivirus Engine,20241126125034
350,2024-11-15 12:29:24,2F-PC-040,172.22.57.189,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:36,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Gene Analysis Engine,20241126125034
351,2024-11-15 12:29:13,hpkkplazaarc,172.22.36.14,Trojan,Trojan.Win32.Save.a,c:\windows\temp\onedrive.exe,2023-08-31 07:05:07,08B5889AF26C2C16AC90F99F5B36481C,Pending,2024-11-15 12:29:13,Sangfor Engine Zero,20241112101856
352,2024-11-15 12:29:13,hpkkplazaarc,172.22.36.14,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2023-08-31 07:06:19,E943443660965C93A2CA426BF840AE6C,Pending,2024-11-15 12:29:13,Sangfor Engine Zero,20241112101856
353,2024-11-15 12:29:13,2F-PC-075,172.22.57.147,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:10,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Gene Analysis Engine,20241126125034
354,2024-11-15 12:29:13,hpkkplazaarc,172.22.36.14,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 06:53:50,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:23,Gene Analysis Engine,20241126125034
355,2024-11-15 12:29:11,1F-PC-193,172.22.50.224,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:19,Sangfor Cloud-Based Antivirus Engine,20241126125034
356,2024-11-15 12:29:11,4F-PC-037,172.22.61.156,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:36,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:16,Gene Analysis Engine,20241126125034
357,2024-11-15 12:28:48,2F-PC-172,172.22.56.200,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:11,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:38,Gene Analysis Engine,20241126125034
358,2024-11-15 12:28:43,5F-PC-083,172.22.80.244,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:46,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Gene Analysis Engine,20241126125034
359,2024-11-15 12:28:40,1F-PC-231A,172.22.7.63,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-03-14 02:06:02,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:26,Gene Analysis Engine,20241126125034
360,2024-11-15 12:28:34,2F-PC-118,172.22.62.18,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:02,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:39,Gene Analysis Engine,20241126125034
361,2024-11-15 12:28:25,5F-PC-029,172.22.80.23,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:28,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:19,Gene Analysis Engine,20241126125034
